@relation HAR

@attribute accX__fft1 numeric
@attribute accX__fft2 numeric
@attribute accX__fft3 numeric
@attribute accX__fft4 numeric
@attribute accX__fft5 numeric
@attribute accY__fft1 numeric
@attribute accY__fft2 numeric
@attribute accY__fft3 numeric
@attribute accY__fft4 numeric
@attribute accY__fft5 numeric
@attribute accZ__fft1 numeric
@attribute accZ__fft2 numeric
@attribute accZ__fft3 numeric
@attribute accZ__fft4 numeric
@attribute accZ__fft5 numeric
@attribute accM__fft1 numeric
@attribute accM__fft2 numeric
@attribute accM__fft3 numeric
@attribute accM__fft4 numeric
@attribute accM__fft5 numeric
@attribute class {walking,running,static,cycling}

@data
2.06,28.57,-16.46,16.91,-7.6,-1.01,-96.16,23.86,-129.51,0.06,1.65,-21.23,-18.21,4.01,-24.14,-3.71,67.36,-12.08,119,45.13,walking
-1.29,28.63,-5.05,11.36,-19.6,1.11,55.48,-7.89,99.91,35.49,-4.15,4.7,-26.43,-2.78,-28.16,-2.27,-46.95,25.63,-59.11,-10.79,walking
-0.97,-54.85,44.35,1.76,-7.76,6.48,-39.74,-19.47,-32.73,-31.91,-1.98,-4.16,22.92,-36.07,19.66,-3.47,77.89,27.35,95.85,0.6,walking
3.54,13.73,-25.35,22.09,-4.88,4.3,23.22,-18.23,19.86,-17.82,-4.59,-17.46,35.71,-12.61,24.28,-8.44,-73.33,20.55,-76.81,-16.78,walking
-5.65,-26.96,7.74,-31.24,18.7,-10.15,-71.4,5.21,-82.18,7.84,-6.39,40.23,-2.76,66.39,-13.43,16.01,79.9,24.97,25.64,30.92,walking
-5.23,53.44,-7.05,37.13,-36.81,4.42,86.92,16.15,79.79,24.9,-1.98,-14,-18.99,4.11,-39.89,1.38,-77.48,-7.19,-60.55,4.21,walking
11.01,-32.74,14.77,-55.88,18.14,-6.31,-29.32,-19.5,-9.36,4.31,7.17,-20.84,7.76,-29.57,-15.89,6.17,51.01,0.41,66.57,-36.94,walking
-1.08,-20.66,113.05,28.5,-6.31,-1.95,26.75,-14.83,26.23,-5.83,-0.34,-35.12,46.73,-37.87,49.94,0.96,-7.37,5.6,-40.97,-35.1,walking
2.53,-32.59,-6.93,-58.78,-4.33,-8.93,-29.35,-9.97,-48.05,-37.57,2.79,45.01,-18.57,72.36,-8.6,7.55,15.31,3.09,30.85,76.54,walking
-3.43,3.2,-9.75,23.49,6.6,4.69,-27.41,15.31,-44.6,43.15,2.98,-18.08,-5.78,-7.68,-27.93,-1.94,39.59,-14.24,64.31,-17.73,walking
1.95,37.53,-14.03,17.97,-18.86,-1.47,64.84,10.62,62.36,26,3.86,-10.38,-14.49,20.76,-8.91,1.42,-75.7,-7.21,-47.34,-6.87,walking
-2.69,-9.84,-19.39,-40.41,2.48,3.01,-30.43,-7.5,-29.5,-21.47,3.27,-30.97,-1.68,-34,8.88,-3.09,47.45,-0.1,64.31,-15.92,walking
1.25,21.5,-22.81,28.43,-9.3,-2.97,23.23,6.35,26.11,-6.58,-0.08,-36.5,10.51,-36.57,53.93,3.41,-49.56,-26.49,-78.97,-9.46,walking
-1.02,-11.93,10.85,-33.79,20.38,5.71,-32.23,1.85,-71.43,15.73,9.3,22.06,-13.62,81.83,-26.99,-7.57,4.21,10.27,57.63,31.39,walking
